net,length_um
_0503_,30.72
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[1\],30.46
i_ibus_rdt[8],30.37
_0251_,30.32
_0260_,29.98
net174,29.4
_0447_,29.04
_0457_,28.54
_0432_,28.48
net49,27.9
_0259_,27.74
cpu.alu.add_cy_r,27.56
cpu.bufreg.i_right_shift_op,27.12
net57,27.12
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[1\],26.4
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[2\],26.385
_0411_,25.62
o_waddr[7],25.49
_0459_,25.4
_0359_,24.72
net194,24.58
_0481_,24.38
_0416_,24.3
o_dbus_dat[11],24.02
net94,23.8
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[2\],23.74
_0340_,23.72
cpu.bufreg2.i_bytecnt\[0\],23.6
_0509_,23.54
net151,23.5
o_ibus_adr[6],23.4
_0254_,23.38
net92,23.2
net162,23.2
o_dbus_dat[29],23.16
_0345_,23.04
_0652_,22.58
net52,22.54
net11,22.48
_0313_,22.24
_0364_,22.18
_0600_,22.16
_0190_,21.96
net125,21.96
_0400_,21.74
net73,21.54
i_dbus_rdt[12],21.41
_0262_,21.4
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[7\],21.34
_0436_,21.29
_0279_,21.24
o_ibus_adr[11],21.17
net33,21.12
_0257_,20.925
_0326_,20.8
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[0\],20.44
rf_ram_if.wen1_r,20.38
_0389_,20.32
net156,20.2
o_ibus_adr[2],20.08
_0325_,20.06
i_dbus_rdt[24],20.03
_0606_,19.79
_0299_,19.735
o_ibus_adr[10],19.69
_0348_,19.64
net41,19.64
o_ibus_adr[30],19.57
i_dbus_rdt[22],19.44
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[8\],19.28
i_ibus_rdt[5],19.27
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[3\],19.165
i_rst,19.03
o_dbus_adr[13],18.66
_0635_,18.62
_0281_,18.48
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[6\],18.34
cpu.decode.op21,18.28
o_ibus_adr[31],18.24
o_ibus_adr[4],17.97
_0435_,17.9
o_ibus_adr[25],17.58
i_ibus_rdt[29],17.46
rf_ram_if.rtrig1,17.12
cpu.immdec.gen_immdec_w_eq_1.imm11_7\[0\],17.02
net169,16.86
o_dbus_adr[20],16.84
_0361_,16.66
_0589_,16.66
_0301_,16.63
rf_ram_if.wdata0_r\[1\],16.5
cpu.state.cnt_r\[3\],16.26
o_dbus_adr[23],16.15
rf_ram_if.rdata1,16.04
_0357_,15.92
cpu.state.o_cnt\[2\],15.67
_0640_,15.6
o_dbus_dat[22],15.57
_0321_,15.52
_0339_,15.44
_0403_,15.145
_0434_,15
_0176_,14.96
o_dbus_adr[19],14.93
o_dbus_dat[2],14.93
o_dbus_adr[10],14.68
net204,14.68
_0346_,14.64
o_dbus_adr[28],14.59
o_ibus_adr[29],14.57
_0327_,14.48
o_waddr[5],14.44
_0439_,14.42
o_waddr[6],14.22
net10,14.2
_0483_,14.16
net206,14.14
i_ibus_rdt[3],14.08
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[2\],14.06
o_ibus_adr[28],14.02
_0255_,13.98
o_ibus_adr[23],13.97
net9,13.96
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[1\],13.9
i_dbus_rdt[14],13.86
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[4\],13.845
_0433_,13.84
_0442_,13.66
rf_ram_if.wen0_r,13.66
_0475_,13.64
i_dbus_rdt[31],13.48
_0487_,13.41
_0385_,13.36
_0053_,13.305
o_dbus_dat[31],13.3
o_dbus_sel[1],13.3
net192,13.3
_0486_,13.18
cpu.ctrl.i_jump,13.18
i_dbus_rdt[28],13.06
i_dbus_rdt[20],13.02
i_dbus_rdt[17],12.94
o_dbus_dat[12],12.94
o_dbus_dat[10],12.84
o_dbus_sel[3],12.81
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[2\],12.78
_0032_,12.685
_0428_,12.64
cpu.immdec.gen_immdec_w_eq_1.imm7,12.62
o_waddr[4],12.62
cpu.alu.cmp_r,12.54
i_ibus_rdt[14],12.48
o_dbus_adr[4],12.38
net71,12.34
_0408_,12.26
_0425_,12.18
o_ibus_adr[5],12.16
_0349_,12.1
_0508_,12.06
i_dbus_rdt[16],12.02
i_ibus_rdt[24],12.02
i_ibus_rdt[16],12.01
o_dbus_sel[0],11.92
o_dbus_dat[4],11.8
o_ibus_adr[0],11.8
net7,11.7
_0320_,11.68
o_dbus_cyc,11.65
_0347_,11.64
_0581_,11.64
i_dbus_rdt[15],11.56
_0623_,11.48
i_ibus_rdt[10],11.46
_0379_,11.42
net95,11.4
_0613_,11.24
o_waddr[0],11.24
_0468_,11.2
_0516_,11.2
_0456_,11.1
i_dbus_rdt[27],11.1
i_dbus_rdt[3],11.1
i_dbus_rdt[6],11.1
i_ibus_ack,11.1
i_ibus_rdt[12],11.1
i_ibus_rdt[13],11.1
i_ibus_rdt[15],11.1
i_rdata[1],11.1
o_dbus_adr[3],11.05
net15,11.02
o_dbus_adr[6],11.01
o_dbus_adr[26],11
o_dbus_adr[31],11
o_dbus_dat[13],11
o_dbus_dat[23],11
o_dbus_dat[27],11
o_ibus_adr[9],11
o_ibus_cyc,11
o_raddr[3],11
o_raddr[4],11
o_raddr[6],11
o_waddr[8],11
_0303_,10.88
_0458_,10.82
_0343_,10.78
net196,10.78
o_dbus_dat[18],10.77
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[3\],10.6
o_dbus_adr[7],10.54
_0492_,10.48
o_ibus_adr[16],10.37
o_raddr[2],10.34
_0376_,10.32
_0469_,10.3
o_raddr[0],10.29
_0390_,10.2
_0517_,10.18
cpu.gen_csr.csr.mstatus_mpie,10.14
_0505_,10.12
i_dbus_rdt[0],10.09
o_dbus_adr[5],10.09
o_dbus_adr[30],10.08
o_dbus_dat[3],10.08
o_dbus_sel[2],9.98
o_ibus_adr[26],9.89
o_dbus_adr[2],9.88
o_dbus_dat[28],9.88
o_dbus_dat[16],9.86
o_dbus_dat[20],9.74
_0105_,9.705
_0499_,9.7
cpu.ctrl.pc_plus_offset_cy_r,9.68
i_dbus_rdt[21],9.64
i_dbus_rdt[23],9.64
i_dbus_rdt[30],9.64
i_dbus_rdt[5],9.64
i_ibus_rdt[2],9.64
net195,9.64
net190,9.56
_0493_,9.52
_0612_,9.52
_0645_,9.505
rf_ram_if.wdata1_r\[2\],9.48
o_dbus_dat[5],9.43
i_ibus_rdt[22],9.39
_0460_,9.36
_0535_,9.36
_0381_,9.28
rf_ram_if.rdata0\[1\],9.22
i_dbus_ack,9.18
cpu.gen_csr.csr.mcause31,9.16
o_dbus_dat[6],9.06
o_dbus_we,8.97
o_dbus_adr[11],8.96
o_dbus_dat[0],8.96
o_dbus_dat[14],8.96
o_ibus_adr[12],8.96
o_ibus_adr[17],8.96
o_ibus_adr[1],8.96
o_ibus_adr[21],8.96
o_ibus_adr[7],8.96
o_waddr[9],8.96
_0295_,8.94
_0404_,8.94
_0194_,8.9
_0358_,8.9
i_dbus_rdt[29],8.72
i_dbus_rdt[2],8.72
i_ibus_rdt[17],8.72
i_ibus_rdt[26],8.72
i_ibus_rdt[28],8.72
i_rdata[0],8.72
net99,8.72
_0418_,8.66
cpu.gen_csr.csr.timer_irq_r,8.66
_0035_,8.605
cpu.bufreg.c_r,8.58
rf_ram_if.wdata1_r\[0\],8.52
_0534_,8.5
o_waddr[1],8.5
_0422_,8.48
_0185_,8.44
_0246_,8.44
_0558_,8.44
_0183_,8.29
_0007_,8.285
i_dbus_rdt[13],8.26
o_dbus_adr[8],8.25
o_wdata[0],8.25
_0484_,8.14
_0069_,8.065
o_dbus_adr[12],8.04
o_dbus_dat[26],8.04
o_dbus_dat[8],8.04
o_ibus_adr[15],8.04
o_ibus_adr[20],8.04
o_raddr[1],8.04
o_raddr[5],8.04
_0391_,8.02
_0547_,8.02
o_dbus_adr[29],8.01
_0426_,8
_0187_,7.98
_0410_,7.98
_0531_,7.98
_0536_,7.98
net205,7.96
_0140_,7.94
_0495_,7.94
i_ibus_rdt[31],7.93
