net,length_um
net63,25.04
net249,25.04
net75,24.96
_0260_,24.82
_0433_,24.78
_0346_,24.68
o_ibus_adr[6],24.42
net195,24.32
net73,24.3
net114,24.3
o_dbus_dat[11],24.14
rf_ram_if.rtrig1,24.08
_0390_,24
_0301_,23.9
net233,23.69
_0279_,23.5
net32,23.5
_0509_,23.28
net212,23.1
net196,23.06
_0359_,23.04
o_dbus_dat[29],22.94
_0364_,22.88
_0606_,22.8
net234,22.8
net57,22.36
net225,21.96
_0255_,21.92
_0486_,21.82
net268,21.48
i_dbus_rdt[12],21.41
_0399_,21.38
net80,21.32
net228,21.32
net156,21.2
o_ibus_adr[11],21.17
_0007_,20.945
_0484_,20.9
net210,20.9
cpu.bufreg2.i_bytecnt\[0\],20.84
_0335_,20.82
net8,20.56
net11,20.32
net246,20.24
cpu.alu.cmp_r,20.105
o_ibus_adr[2],20.08
cpu.decode.op21,20.04
net25,20.02
_0389_,19.98
net85,19.74
o_ibus_adr[10],19.69
_0623_,19.64
o_ibus_adr[30],19.57
_0648_,19.56
_0483_,19.52
cpu.alu.add_cy_r,19.47
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[1\],19.44
net218,19.34
_0333_,19.3
net95,19.28
net222,19.28
net214,19.18
i_ibus_rdt[31],19.13
i_dbus_rdt[24],19.11
i_rst,19.03
_0254_,18.8
o_dbus_adr[13],18.66
cpu.decode.opcode\[0\],18.62
net252,18.6
_0259_,18.38
net205,18.36
o_dbus_adr[18],18.29
_0262_,18.16
net33,17.8
rf_ram_if.wen1_r,17.72
net242,17.72
net239,17.7
o_ibus_adr[25],17.58
cpu.gen_csr.csr.mstatus_mpie,17.5
_0391_,17.42
_0302_,17.16
_0416_,17.1
o_ibus_adr[19],17.09
o_dbus_adr[20],16.84
rf_ram_if.wen0_r,16.7
_0501_,16.68
net203,16.68
net71,16.66
o_waddr[9],16.6
i_ibus_rdt[29],16.54
_0257_,16.44
cpu.state.cnt_r\[1\],16.4
rf_ram_if.wdata0_r\[1\],16.34
_0214_,16.18
o_dbus_adr[23],16.15
_0436_,15.96
_0584_,15.82
o_ibus_adr[23],15.65
net216,15.62
o_dbus_dat[22],15.57
net41,15.52
_0384_,15.48
o_dbus_adr[24],15.41
_0585_,15.38
_0248_,15.34
_0488_,15.28
_0061_,15.265
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[8\],15.18
i_ibus_rdt[3],15
o_dbus_dat[25],14.95
o_dbus_adr[19],14.93
_0516_,14.88
_0499_,14.84
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[1\],14.78
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[7\],14.72
net220,14.7
o_dbus_adr[10],14.68
o_raddr[4],14.62
net226,14.48
_0383_,14.47
_0487_,14.44
_0251_,14.34
_0330_,14.3
o_waddr[6],14.22
_0165_,14.165
i_dbus_rdt[27],14.08
net191,14.08
o_ibus_adr[28],14.02
_0588_,13.98
_0222_,13.94
i_dbus_rdt[14],13.86
i_dbus_rdt[28],13.86
_0586_,13.785
_0358_,13.71
net232,13.68
o_waddr[5],13.64
_0045_,13.625
net255,13.62
_0641_,13.58
_0449_,13.5
i_dbus_rdt[31],13.48
_0043_,13.465
_0438_,13.46
o_dbus_cyc,13.37
o_dbus_dat[31],13.3
o_dbus_sel[1],13.3
net217,13.265
_0492_,13.18
_0435_,13.1
_0456_,13.08
_0339_,13.02
i_dbus_rdt[20],13.02
_0403_,12.96
i_dbus_rdt[17],12.94
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[3\],12.88
_0349_,12.84
o_dbus_dat[10],12.84
net270,12.78
_0187_,12.74
_0634_,12.7
i_ibus_rdt[10],12.7
_0321_,12.68
_0632_,12.68
_0437_,12.66
_0393_,12.65
_0425_,12.64
net219,12.625
_0042_,12.605
_0196_,12.6
_0493_,12.54
cpu.state.cnt_r\[3\],12.5
i_dbus_rdt[15],12.48
i_ibus_rdt[14],12.48
_0418_,12.46
cpu.gen_csr.csr.mcause3_0\[2\],12.425
o_dbus_adr[4],12.38
_0015_,12.36
_0306_,12.3
net192,12.28
i_dbus_rdt[22],12.24
i_ibus_rdt[19],12.21
o_ibus_adr[5],12.16
_0591_,12.14
o_ibus_adr[27],12.13
_0054_,12.12
rf_ram_if.rdata1,12.06
_0408_,12.04
_0090_,12.02
i_dbus_rdt[16],12.02
i_dbus_rdt[3],12.02
i_ibus_rdt[15],12.02
i_ibus_rdt[24],12.02
o_raddr[3],12.02
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[4\],12
_0472_,11.98
_0223_,11.96
_0496_,11.96
net265,11.96
o_dbus_dat[12],11.92
o_dbus_sel[0],11.92
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[2\],11.86
o_ibus_adr[0],11.8
cpu.gen_csr.csr.mcause3_0\[1\],11.78
net175,11.64
_0281_,11.6
_0228_,11.5
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[6\],11.5
_0510_,11.46
o_dbus_adr[26],11.46
net169,11.44
_0270_,11.38
_0597_,11.32
o_waddr[4],11.26
net209,11.245
_0034_,11.24
_0265_,11.24
net162,11.24
_0507_,11.18
net275,11.18
_0176_,11.16
_0495_,11.14
_0241_,11.1
i_dbus_rdt[6],11.1
i_ibus_ack,11.1
i_ibus_rdt[13],11.1
i_rdata[1],11.1
_0229_,11.06
net235,11.025
o_dbus_adr[31],11
o_dbus_dat[13],11
o_dbus_dat[23],11
o_dbus_dat[27],11
o_dbus_dat[4],11
o_ibus_adr[9],11
o_ibus_cyc,11
o_raddr[6],11
o_waddr[8],11
_0387_,10.96
_0432_,10.96
i_dbus_rdt[10],10.91
_0361_,10.9
_0100_,10.865
_0465_,10.86
rf_ram_if.wdata1_r\[1\],10.86
net10,10.86
_0336_,10.78
cpu.immdec.gen_immdec_w_eq_1.imm7,10.78
net151,10.78
o_dbus_dat[18],10.77
i_ibus_rdt[12],10.76
_0205_,10.72
_0287_,10.7
_0617_,10.66
_0428_,10.62
_0171_,10.565
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[5\],10.56
o_dbus_adr[7],10.54
_0502_,10.44
_0385_,10.42
_0505_,10.34
o_raddr[2],10.34
o_dbus_dat[2],10.29
_0379_,10.28
_0308_,10.26
_0517_,10.22
net273,10.205
net215,10.165
_0642_,10.16
_0392_,10.155
_0021_,10.145
_0063_,10.14
i_dbus_rdt[0],10.09
o_dbus_adr[5],10.09
o_dbus_adr[30],10.08
o_dbus_dat[3],10.08
o_ibus_adr[31],10.08
_0355_,10.04
o_dbus_sel[2],9.98
net207,9.98
net264,9.98
_0443_,9.96
rf_ram_if.rgnt,9.94
_0057_,9.905
o_dbus_adr[2],9.88
o_dbus_dat[28],9.88
o_waddr[0],9.88
_0079_,9.865
_0468_,9.86
cpu.bufreg.c_r,9.82
i_ibus_rdt[7],9.75
net244,9.74
_0439_,9.72
_0478_,9.7
_0581_,9.7
_0396_,9.66
_0429_,9.64
i_dbus_rdt[21],9.64
i_dbus_rdt[23],9.64
i_dbus_rdt[29],9.64
i_dbus_rdt[2],9.64
i_dbus_rdt[5],9.64
net190,9.64
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[3\],9.62
_0426_,9.6
net230,9.58
_0363_,9.52
_0442_,9.52
_0599_,9.5
_0028_,9.465
_0209_,9.46
_0125_,9.44
_0178_,9.42
_0050_,9.405
net236,9.4
i_ibus_rdt[22],9.39
_0143_,9.38
_0240_,9.36
_0023_,9.3
o_waddr[1],9.3
_0351_,9.28
_0410_,9.28
net245,9.245
cpu.gen_csr.csr.mie_mtie,9.22
_0490_,9.18
_0536_,9.18
i_dbus_ack,9.18
i_dbus_rdt[30],9.18
net197,9.18
